word_en,word_fr,concept_id
camail,camail,n02941845
camaraderie,camaraderie,n04653627
camera,caméra,n04404997
cameraman,caméraman,n09889539
camion,camion,n03235979
camion,camion,n03690473
camouflage,camouflage,n01049266
camouflage,camouflage,n02944459
camouflage,camouflage,n02944579
camouflage,camouflage,n04679074
camouflage,camouflage,v02158896
camp,camp,a02394487
camp,camp,n02944826
camp,camp,n02945161
camp,camp,n02945379
camp,camp,n02945594
camp,camp,n02945813
camp,camp,n05649960
camp,camp,n08478018
camp,camp,v00525805
camp,camp,v01514248
campaign,campagne,n00309906
campaign,campagne,n00798245
campaign,campagne,n00968155
campaign,campagne,n07472929
camping,camping,n01055165
canard,canard,n06758135
cancan,cancan,n00531077
cantaloupe,cantaloup,n07755929
cantaloupe,cantaloup,n12164656
canteen,cantine,n02952374
canteen,cantine,n02952485
canteen,cantine,n02952585
canteen,cantine,n02952674
canteen,cantine,n02952798
caoutchouc,caoutchouc,n15006258
cape,cape,n02955767
cape,cape,n09233715
capillarity,capillarité,n11433806
capitalism,capitalisme,n08364143
capitalist,capitaliste,a00297403
capitalist,capitaliste,a03000110
capitalist,capitaliste,n09609232
capitalist,capitaliste,n09892262
caprice,caprice,n07490579
capricious,capricieux,a00719442
capricious,capricieux,a01842304
capstan,cabestan,n02957252
capsule,capsule,n02957586
capsule,capsule,n02957755
capsule,capsule,n03267468
capsule,capsule,n04264765
capsule,capsule,n05317191
capsule,capsule,n06468123
capsule,capsule,n11685179
capsule,capsule,v00244416
capsule,capsule,v01581070
caracal,caracal,n02127678
caramel,caramel,a00372799
caramel,caramel,n04973957
caramel,caramel,n07595180
caramel,caramel,n07601809
carapace,carapace,n01903756
caraway,carvi,n07816726
caraway,carvi,n12934479
carbine,carabine,n02961451
carbon,carbone,n02961851
carbon,carbone,n14633206
carbon,carbone,n14797813
carbonate,carbonate,n14798450
carcajou,carcajou,n02449183
cardigan,cardigan,n02113186
cardigan,cardigan,n02963159
cardinal,cardinal,a01277097
cardinal,cardinal,a02183611
cardinal,cardinal,n01541386
cardinal,cardinal,n04963449
cardinal,cardinal,n09894143
cardinal,cardinal,n13597585
career,carrière,n00282613
career,carrière,n00583246
career,carrière,v02082181
cargo,cargo,n02964389
caricature,caricature,n06780069
caricature,caricature,v00849592
carmine,carmin,n04963449
carmine,carmin,v00535256
carnivore,carnivore,n01324431
carnivore,carnivore,n02075296
caroline,caroline,a02680723
carpel,carpelle,n11677743
carpet,carpette,n09236766
carpet,carpette,v01234920
carpet,carpette,v01235073
carpet,carpette,v02749520
carrack,caraque,n02968210
carrot,carotte,n01219722
carrot,carotte,n07730207
carrot,carotte,n12937388
carrot,carotte,n12937678
carrousel,carrousel,n02966193
carrousel,carrousel,n02966372
carte blanche,carte blanche,n05197701
carte,carte,n06492939
cartel,cartel,n08236621
cartilage,cartilage,n05288091
cartography,cartographie,n00924579
carton,carton,n02971356
carton,carton,n13766337
cartouche,cartouche,n02971473
casern,caserne,n02976552
cashier,caissier,n09899289
cashier,caissier,n10698970
cashier,caissier,v02422559
cashier,caissier,v02427596
casque,casque,n02978205
casserole,casserole,n02978753
casserole,casserole,n07580359
cassette,cassette,n02978881
cataclysm,cataclysme,n11434016
catacomb,catacombe,n02981024
catafalque,catafalque,n02981198
catalan,catalan,a03053859
catalan,catalan,a03054020
catalan,catalan,n06967529
catalan,catalan,n09900284
catechumen,catéchumène,n09901502
catheter,cathéter,n02984469
catholicism,catholicisme,n06227263
cavalcade,cavalcade,n08427918
caviar,caviar,n07799579
celerity,célérité,n05059132
celery,céleri,n07730406
celery,céleri,n12933403
celesta,célesta,n02990758
cent,cent,n13390626
cent,cent,n13664521
center,centre,a00330506
center,centre,a02031624
center,centre,n00725506
center,centre,n00727500
center,centre,n00728464
center,centre,n02993546
center,centre,n02994219
center,centre,n03965456
center,centre,n05463533
center,centre,n05812038
center,centre,n05921123
center,centre,n07602650
center,centre,n08416523
center,centre,n08481832
center,centre,n08514034
center,centre,n08521816
center,centre,n08523483
center,centre,n09904321
center,centre,n09904556
center,centre,n09904708
center,centre,v01852701
center,centre,v02676496
centime,centime,n13390626
centime,centime,n13665965
centimetre,centimètre,n13658828
cereal,céréale,a02688623
cereal,céréale,n07702796
cereal,céréale,n07802417
cereal,céréale,n12141495
cerebral,cérébral,a01927455
cerebral,cérébral,a02688974
cerise,cerise,a00381097
cerise,cerise,n04964443
ceruse,céruse,n15097722
chaise longue,chaise longue,n03002711
chalet,chalet,n03002816
chamber,chambre,n02821627
chamber,chambre,n03003730
chamber,chambre,n03004146
chamber,chambre,n05392744
chamber,chambre,n08318904
chamber,chambre,v02656062
chamois,chamois,n02419336
chamois,chamois,n14761806
champagne,champagne,n07893642
chancre,chancre,n14184067
chandelier,chandelier,n03005285
chanterelle,chanterelle,n13004423
chapeau,chapeau,n03497657
chaperon,chaperon,n09908273
chaperon,chaperon,v02026712
charcuterie,charcuterie,n03008177
charivari,charivari,n07054122
charlotte,charlotte,n07610890
charter,charter,n06522501
charterhouse,chartreuse,n03010057
chartreuse,chartreuse,n07908923
chauffeur,chauffeur,n09908853
chauffeur,chauffeur,v02058049
